id,ユニット,タグ,問題タイプ,問題文,選択肢A,選択肢B,選択肢C,選択肢D,正解,解説,例解仕訳_借方科目,例解仕訳_借方金額,例解仕訳_貸方科目,例解仕訳_貸方金額
1,基礎_五分類,資産,四択_分類,勘定科目「現金」は次のうちどれに分類される？,資産,負債,純資産,収益,A,現金は資産に属する。高校簿記では五分類を最初に押さえる。,,,,
2,基礎_五分類,資産,四択_分類,勘定科目「当座預金」は次のうちどれに分類される？,資産,負債,純資産,収益,A,当座預金は資産に属する。高校簿記では五分類を最初に押さえる。,,,,
3,基礎_五分類,資産,四択_分類,勘定科目「売掛金」は次のうちどれに分類される？,資産,負債,純資産,収益,A,売掛金は資産に属する。高校簿記では五分類を最初に押さえる。,,,,
4,基礎_五分類,資産,四択_分類,勘定科目「受取手形」は次のうちどれに分類される？,資産,負債,純資産,収益,A,受取手形は資産に属する。高校簿記では五分類を最初に押さえる。,,,,
5,基礎_五分類,資産,四択_分類,勘定科目「商品」は次のうちどれに分類される？,資産,負債,純資産,収益,A,商品は資産に属する。高校簿記では五分類を最初に押さえる。,,,,
6,基礎_五分類,資産,四択_分類,勘定科目「備品」は次のうちどれに分類される？,資産,負債,純資産,収益,A,備品は資産に属する。高校簿記では五分類を最初に押さえる。,,,,
7,基礎_五分類,資産,四択_分類,勘定科目「建物」は次のうちどれに分類される？,資産,負債,純資産,収益,A,建物は資産に属する。高校簿記では五分類を最初に押さえる。,,,,
8,基礎_五分類,資産(マイナス),四択_分類,勘定科目「減価償却累計額」は次のうちどれに分類される？,資産,負債,純資産,収益,A,減価償却累計額は資産(マイナス)に属する。高校簿記では五分類を最初に押さえる。,,,,
9,基礎_五分類,資産,四択_分類,勘定科目「前払金」は次のうちどれに分類される？,資産,負債,純資産,収益,A,前払金は資産に属する。高校簿記では五分類を最初に押さえる。,,,,
10,基礎_五分類,資産,四択_分類,勘定科目「未収収益」は次のうちどれに分類される？,資産,負債,純資産,収益,A,未収収益は資産に属する。高校簿記では五分類を最初に押さえる。,,,,
11,基礎_五分類,負債,四択_分類,勘定科目「買掛金」は次のうちどれに分類される？,資産,負債,純資産,収益,B,買掛金は負債に属する。高校簿記では五分類を最初に押さえる。,,,,
12,基礎_五分類,負債,四択_分類,勘定科目「支払手形」は次のうちどれに分類される？,資産,負債,純資産,収益,B,支払手形は負債に属する。高校簿記では五分類を最初に押さえる。,,,,
